C,C_eff,padded,pad_added,divisible_256,B,T,dtype,device,avg_ms,est_TFLOPS,error
4096,4096,0,0,1,4,1,bfloat16,cuda,0.42338999807834626,2.5360585485567118,
4096,4096,1,0,1,4,1,bfloat16,cuda,0.40155333479245503,2.673970630962309,
4104,4104,0,0,0,4,1,bfloat16,cuda,0.4075444628794988,2.6449634878703314,
4104,4352,1,248,0,4,1,bfloat16,cuda,0.4407004336516062,2.7505165945860237,
4112,4112,0,0,0,4,1,bfloat16,cuda,0.39888380070527396,2.71293748727483,
4112,4352,1,240,0,4,1,bfloat16,cuda,0.43996946612993876,2.7550863169263833,
4120,4120,0,0,0,4,1,bfloat16,cuda,0.40479356745878853,2.683742251192272,
4120,4352,1,232,0,4,1,bfloat16,cuda,0.4397343327601751,2.756559508081648,
4128,4128,0,0,0,4,1,bfloat16,cuda,0.39931599895159403,2.7311316823351297,
4128,4352,1,224,0,4,1,bfloat16,cuda,0.439738866686821,2.7565310865807264,
4136,4136,0,0,0,4,1,bfloat16,cuda,0.413764101266861,2.6459901684266427,
4136,4352,1,216,0,4,1,bfloat16,cuda,0.4405232657988866,2.751622786146755,
4144,4144,0,0,0,4,1,bfloat16,cuda,0.4170250336329142,2.635465536506477,
4144,4352,1,208,0,4,1,bfloat16,cuda,0.4507751991351446,2.689042916126782,
4152,4152,0,0,0,4,1,bfloat16,cuda,0.43172599871953327,2.5555622299150675,
4152,4352,1,200,0,4,1,bfloat16,cuda,0.46121069888273875,2.6281997771005434,
4160,4160,0,0,0,4,1,bfloat16,cuda,0.4415150632460912,2.508540460334578,
4160,4352,1,192,0,4,1,bfloat16,cuda,0.4629571666320165,2.618285110085542,
4168,4168,0,0,0,4,1,bfloat16,cuda,0.4424868017435074,2.512667793975199,
4168,4352,1,184,0,4,1,bfloat16,cuda,0.4647087017695109,2.60841652283329,
4176,4176,0,0,0,4,1,bfloat16,cuda,0.44416243334611255,2.5128069827784962,
4176,4352,1,176,0,4,1,bfloat16,cuda,0.4654737989107768,2.604129080598044,
4184,4184,0,0,0,4,1,bfloat16,cuda,0.4524927347898483,2.4760061275245375,
4184,4352,1,168,0,4,1,bfloat16,cuda,0.4642106642325719,2.6112150137781085,
4192,4192,0,0,0,4,1,bfloat16,cuda,0.4456967651844025,2.5233822272294977,
4192,4352,1,160,0,4,1,bfloat16,cuda,0.4642203678687414,2.61116043133794,
4200,4200,0,0,0,4,1,bfloat16,cuda,0.4511644959449768,2.502324562652833,
4200,4352,1,152,0,4,1,bfloat16,cuda,0.46411266724268596,2.6117663695788784,
4208,4208,0,0,0,4,1,bfloat16,cuda,0.4494041681289673,2.521705352040221,
4208,4352,1,144,0,4,1,bfloat16,cuda,0.462815730770429,2.6190852544752112,
4216,4216,0,0,0,4,1,bfloat16,cuda,0.4543686350186666,2.5036454903038488,
4216,4352,1,136,0,4,1,bfloat16,cuda,0.461592698097229,2.626024763816073,
4224,4224,0,0,0,4,1,bfloat16,cuda,0.45533983608086903,2.5077956583557013,
4224,4352,1,128,0,4,1,bfloat16,cuda,0.4613653987646103,2.62731851856633,
4232,4232,0,0,0,4,1,bfloat16,cuda,0.45451893111069996,2.5218503730944293,
4232,4352,1,120,0,4,1,bfloat16,cuda,0.46534833312034607,2.604831197894329,
4240,4240,0,0,0,4,1,bfloat16,cuda,0.4582406014204025,2.510834693463661,
4240,4352,1,112,0,4,1,bfloat16,cuda,0.4645486662785212,2.609315113765175,
4248,4248,0,0,0,4,1,bfloat16,cuda,0.4618816326061885,2.500450709597076,
4248,4352,1,104,0,4,1,bfloat16,cuda,0.46517073512077334,2.605825698999069,
4256,4256,0,0,0,4,1,bfloat16,cuda,0.4603384296099345,2.5182913904935083,
