Context Length,Document Depth,Score
774,0.0,3
773,10.0,3
773,20.0,3
773,30.0,3
773,40.0,3
773,60.0,3
773,70.0,3
773,80.0,3
773,90.0,3
774,100.0,3
1798,0.0,3
1797,10.0,3
1797,20.0,3
1797,30.0,3
1797,40.0,3
1797,60.0,3
1797,70.0,3
1797,80.0,3
1797,90.0,3
1798,100.0,3
2821,0.0,3
2820,10.0,3
2820,20.0,3
2820,30.0,3
2820,40.0,3
2820,60.0,3
2820,70.0,3
2820,80.0,3
2820,90.0,3
2821,100.0,3
3846,0.0,3
3845,10.0,3
3845,20.0,3
3845,30.0,3
3845,40.0,3
3845,60.0,3
3845,70.0,3
3845,80.0,3
3845,90.0,3
3846,100.0,3
4870,0.0,3
4869,10.0,3
4869,20.0,3
4869,30.0,3
4869,40.0,3
4869,60.0,3
4869,70.0,3
4869,80.0,3
4869,90.0,3
4870,100.0,3
5893,0.0,3
5892,10.0,3
5892,20.0,3
5892,30.0,3
5892,40.0,3
5892,60.0,3
5892,70.0,3
5892,80.0,3
5892,90.0,3
5893,100.0,3
6902,0.0,3
6901,10.0,3
6901,20.0,3
6901,30.0,3
6901,40.0,3
6901,60.0,3
6901,70.0,3
6901,80.0,3
6901,90.0,3
6902,100.0,3
7886,0.0,3
7885,10.0,3
7885,20.0,3
7885,30.0,3
7885,40.0,3
7885,60.0,3
7885,70.0,3
7885,80.0,3
7885,90.0,3
7886,100.0,3
8870,0.0,3
8869,10.0,3
8869,20.0,3
8869,30.0,3
8869,40.0,3
8869,60.0,3
8869,70.0,3
8869,80.0,3
8869,90.0,3
8870,100.0,3
9854,0.0,3
9853,10.0,3
9853,20.0,3
9853,30.0,3
9853,40.0,3
9853,60.0,3
9853,70.0,3
9853,80.0,3
9853,90.0,3
9854,100.0,3
10838,0.0,3
10837,10.0,3
10837,20.0,3
10837,30.0,3
10837,40.0,3
10837,60.0,3
10837,70.0,3
10837,80.0,3
10837,90.0,3
10838,100.0,3
11822,0.0,3
11821,10.0,3
11821,20.0,3
11821,30.0,3
11821,40.0,3
11821,60.0,3
11821,70.0,3
11821,80.0,3
11821,90.0,3
11822,100.0,3
12806,0.0,3
12805,10.0,3
12805,20.0,3
12805,30.0,3
12805,40.0,3
12805,60.0,3
12805,70.0,3
12805,80.0,3
12805,90.0,3
12806,100.0,3
13790,0.0,3
13789,10.0,3
13789,20.0,3
13789,30.0,3
13789,40.0,3
13789,60.0,3
13789,70.0,3
13789,80.0,3
13789,90.0,3
13790,100.0,3
14774,0.0,3
14773,10.0,3
14773,20.0,3
14773,30.0,3
14773,40.0,3
14773,60.0,2
14773,70.0,3
14773,80.0,3
14773,90.0,3
14774,100.0,3
15758,0.0,3
15757,10.0,3
15757,20.0,3
15757,30.0,3
15757,40.0,3
15757,60.0,3
15757,70.0,3
15757,80.0,3
15757,90.0,3
15758,100.0,3
16742,0.0,3
16741,10.0,3
16741,20.0,3
16741,30.0,3
16741,40.0,3
16741,60.0,3
16741,70.0,3
16741,80.0,3
16741,90.0,3
16742,100.0,3
17726,0.0,3
17725,10.0,3
17725,20.0,3
17725,30.0,3
17725,40.0,3
17725,60.0,3
17725,70.0,3
17725,80.0,3
17725,90.0,3
17726,100.0,3
18686,0.0,3
18685,10.0,3
18685,20.0,3
18685,30.0,3
18685,40.0,3
18685,60.0,3
18685,70.0,3
18685,80.0,3
18685,90.0,2
18686,100.0,3
19670,0.0,3
19669,10.0,3
19669,20.0,3
19669,30.0,3
19669,40.0,3
19669,60.0,3
19669,70.0,3
19669,80.0,3
19669,90.0,2
19670,100.0,3
20654,0.0,3
20653,10.0,3
20653,20.0,3
20653,30.0,3
20653,40.0,3
20653,60.0,3
20653,70.0,3
20653,80.0,3
20653,90.0,3
20654,100.0,3
21638,0.0,3
21637,10.0,3
21637,20.0,3
21637,30.0,3
21637,40.0,3
21637,60.0,3
21637,70.0,3
21637,80.0,2
21637,90.0,3
21638,100.0,3
22622,0.0,3
22621,10.0,3
22621,20.0,3
22621,30.0,3
22621,40.0,3
22621,60.0,3
22621,70.0,3
22621,80.0,2
22621,90.0,3
22622,100.0,3
23606,0.0,3
23605,10.0,3
23605,20.0,3
23605,30.0,3
23605,40.0,3
23605,60.0,3
23605,70.0,3
23605,80.0,2
23605,90.0,3
23606,100.0,3
