Context Length,Document Depth,Score
774,0.0,2
773,10.0,3
773,20.0,3
773,30.0,3
773,40.0,3
773,60.0,3
773,70.0,3
773,80.0,3
773,90.0,3
774,100.0,3
1797,0.0,0
1796,10.0,0
1796,20.0,0
1796,30.0,0
1796,40.0,2
1796,60.0,2
1796,70.0,3
1796,80.0,3
1796,90.0,3
1797,100.0,3
2821,0.0,0
2820,10.0,0
2820,20.0,0
2820,30.0,0
2820,40.0,0
2820,60.0,0
2820,70.0,2
2820,80.0,3
2820,90.0,3
2821,100.0,3
3846,0.0,0
3845,10.0,0
3845,20.0,0
3845,30.0,0
3845,40.0,0
3845,60.0,0
3845,70.0,0
3845,80.0,2
3845,90.0,3
3846,100.0,3
