Context Length,Document Depth,Score
774,0.0,2
773,10.0,3
773,20.0,3
773,30.0,3
773,40.0,3
773,60.0,3
773,70.0,3
773,80.0,3
773,90.0,3
774,100.0,3
1797,0.0,0
1797,10.0,0
1797,20.0,0
1797,30.0,2
1797,40.0,2
1797,60.0,2
1797,70.0,2
1797,80.0,3
1797,90.0,3
1797,100.0,3
2822,0.0,0
2821,10.0,0
2821,20.0,0
2821,30.0,0
2821,40.0,0
2821,60.0,2
2821,70.0,2
2821,80.0,2
2821,90.0,3
2822,100.0,3
3846,0.0,0
3845,10.0,0
3845,20.0,0
3845,30.0,0
3845,40.0,0
3845,60.0,0
3845,70.0,1
3845,80.0,2
3845,90.0,3
3846,100.0,3
