Context Length,Document Depth,Score
3846,0.0,3
3845,10.0,3
3845,20.0,3
3845,30.0,3
3845,40.0,3
3845,60.0,3
3845,70.0,3
3845,80.0,3
3845,90.0,3
3846,100.0,3
7886,0.0,3
7885,10.0,3
7885,20.0,3
7885,30.0,3
7885,40.0,3
7885,60.0,3
7885,70.0,3
7885,80.0,3
7885,90.0,3
7886,100.0,3
11822,0.0,3
11821,10.0,3
11821,20.0,3
11821,30.0,3
11821,40.0,3
11821,60.0,3
11821,70.0,3
11821,80.0,3
11821,90.0,3
11822,100.0,3
15758,0.0,3
15757,10.0,3
15757,20.0,3
15757,30.0,3
15757,40.0,3
15757,60.0,3
15757,70.0,3
15757,80.0,3
15757,90.0,3
15758,100.0,3
19670,0.0,3
19669,10.0,3
19669,20.0,3
19669,30.0,3
19669,40.0,3
19669,60.0,3
19669,70.0,3
19669,80.0,3
19669,90.0,3
19670,100.0,3
23606,0.0,3
23605,10.0,3
23605,20.0,3
23605,30.0,3
23605,40.0,3
23605,60.0,3
23605,70.0,3
23605,80.0,3
23605,90.0,3
23606,100.0,3
27542,0.0,3
27541,10.0,3
27541,20.0,3
27541,30.0,3
27541,40.0,3
27541,60.0,3
27541,70.0,3
27541,80.0,3
27541,90.0,3
27542,100.0,3
31478,0.0,3
31477,10.0,3
31477,20.0,3
31477,30.0,3
31477,40.0,3
31477,60.0,3
31477,70.0,3
31477,80.0,3
31477,90.0,3
31478,100.0,3
35414,0.0,3
35413,10.0,3
35413,20.0,3
35413,30.0,3
35413,40.0,3
35413,60.0,3
35413,70.0,3
35413,80.0,3
35413,90.0,3
35414,100.0,3
39350,0.0,2
39349,10.0,3
39349,20.0,3
39349,30.0,3
39349,40.0,3
39349,60.0,3
39349,70.0,3
39349,80.0,3
39349,90.0,3
39350,100.0,3
43262,0.0,3
43261,10.0,3
43261,20.0,3
43261,30.0,3
43261,40.0,3
43261,60.0,3
43261,70.0,3
43261,80.0,3
43261,90.0,3
43262,100.0,3
47198,0.0,3
47197,10.0,3
47197,20.0,3
47197,30.0,3
47197,40.0,3
47197,60.0,3
47197,70.0,3
47197,80.0,3
47197,90.0,3
47198,100.0,3
51134,0.0,3
51133,10.0,3
51133,20.0,3
51133,30.0,3
51133,40.0,3
51133,60.0,3
51133,70.0,3
51133,80.0,3
51133,90.0,3
51134,100.0,3
55070,0.0,3
55069,10.0,3
55069,20.0,3
55069,30.0,3
55069,40.0,3
55069,60.0,3
55069,70.0,3
55069,80.0,3
55069,90.0,3
55070,100.0,3
59006,0.0,3
59005,10.0,3
59005,20.0,3
59005,30.0,3
59005,40.0,3
59005,60.0,3
59005,70.0,3
59005,80.0,3
59005,90.0,3
59006,100.0,3
62942,0.0,3
62941,10.0,3
62941,20.0,3
62941,30.0,3
62941,40.0,3
62941,60.0,3
62941,70.0,3
62941,80.0,3
62941,90.0,3
62942,100.0,3
