Context Length,Document Depth,Score
774,0.0,3
773,10.0,3
773,20.0,3
773,30.0,3
773,40.0,3
773,60.0,3
773,70.0,3
773,80.0,3
773,90.0,3
774,100.0,3
1797,0.0,0
1796,10.0,0
1796,20.0,0
1796,30.0,1
1796,40.0,2
1796,60.0,2
1796,70.0,3
1796,80.0,3
1796,90.0,3
1797,100.0,3
2821,0.0,0
2820,10.0,0
2820,20.0,0
2820,30.0,0
2820,40.0,0
2820,60.0,1
2820,70.0,2
2820,80.0,3
2820,90.0,3
2821,100.0,3
3846,0.0,0
3845,10.0,0
3845,20.0,0
3845,30.0,0
3845,40.0,0
3845,60.0,0
3845,70.0,0
3845,80.0,2
3845,90.0,3
3846,100.0,3
4869,0.0,0
4868,10.0,0
4868,20.0,0
4868,30.0,0
4868,40.0,0
4868,60.0,0
4868,70.0,0
4868,80.0,2
4868,90.0,3
4869,100.0,3
5893,0.0,0
5892,10.0,0
5892,20.0,0
5892,30.0,0
5892,40.0,0
5892,60.0,0
5892,70.0,0
5892,80.0,1
5892,90.0,3
5893,100.0,3
6906,0.0,0
6905,10.0,0
6905,20.0,0
6905,30.0,0
6905,40.0,0
6905,60.0,0
6905,70.0,0
6905,80.0,0
6905,90.0,3
6906,100.0,3
7890,0.0,0
7889,10.0,0
7889,20.0,0
7889,30.0,0
7889,40.0,0
7889,60.0,0
7889,70.0,0
7889,80.0,0
7889,90.0,3
7890,100.0,3
