Context Length,Document Depth,Score
774,0.0,0
774,10.0,0
774,20.0,0
774,30.0,0
774,40.0,0
774,60.0,0
774,70.0,0
774,80.0,0
774,90.0,0
774,100.0,0
1798,0.0,0
1798,10.0,0
1798,20.0,0
1798,30.0,0
1798,40.0,0
1798,60.0,0
1798,70.0,0
1798,80.0,0
1798,90.0,0
1798,100.0,0
2822,0.0,0
2822,10.0,0
2822,20.0,0
2822,30.0,0
2822,40.0,0
2822,60.0,0
2822,70.0,0
2822,80.0,0
2822,90.0,0
2822,100.0,0
3846,0.0,0
3846,10.0,0
3846,20.0,0
3846,30.0,0
3846,40.0,0
3846,60.0,0
3846,70.0,0
3846,80.0,0
3846,90.0,0
3846,100.0,0
4870,0.0,0
4870,10.0,0
4870,20.0,0
4870,30.0,0
4870,40.0,0
4870,60.0,0
4870,70.0,0
4870,80.0,0
4870,90.0,0
4870,100.0,0
5894,0.0,0
5894,10.0,0
5894,20.0,0
5894,30.0,0
5894,40.0,0
5894,60.0,0
5894,70.0,0
5894,80.0,0
5894,90.0,0
5894,100.0,0
6900,0.0,0
6900,10.0,0
6900,20.0,0
6900,30.0,0
6900,40.0,0
6900,60.0,0
6900,70.0,0
6900,80.0,0
6900,90.0,0
6900,100.0,0
7884,0.0,0
7884,10.0,0
7884,20.0,0
7884,30.0,0
7884,40.0,0
7884,60.0,0
7884,70.0,0
7884,80.0,0
7884,90.0,0
7884,100.0,0
