Context Length,Document Depth,Score
773,0.0,0
772,20.0,1
772,50.0,1
772,80.0,2
773,100.0,2
1798,0.0,0
1797,20.0,0
1797,50.0,0
1797,80.0,1
1798,100.0,2
2822,0.0,0
2821,20.0,0
2821,50.0,0
2821,80.0,0
2822,100.0,2
3845,0.0,0
3844,20.0,0
3844,50.0,0
3844,80.0,0
3845,100.0,2
4870,0.0,0
4869,20.0,0
4869,50.0,0
4869,80.0,0
4870,100.0,2
5894,0.0,0
5893,20.0,0
5893,50.0,0
5893,80.0,0
5894,100.0,2
6907,0.0,0
6906,20.0,0
6906,50.0,0
6906,80.0,0
6907,100.0,2
7891,0.0,0
7890,20.0,0
7890,50.0,0
7890,80.0,0
7891,100.0,2
